page_type,location_country,referrer_host,ua_os,hour,total_orders_placed,total_checkouts,total_carts,total_sessions,total_pageviews,total_conversion,total_bounce_rate,ua_form_factor,referrer_source,referrer_name
Homepage,Bahamas,Unknown,Windows,2021-07-16 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cyprus,www.google.com,iOS,2021-02-16 11:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Gabon,Unknown,Windows,2021-01-02 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,myers.com,Linux,2019-08-11 10:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Dominica,mclean.net,iOS,2020-06-23 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Bosnia and Herzegovina,mclean.net,Linux,2020-07-02 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Botswana,Unknown,Windows,2019-08-04 10:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,China,l.instagram.com,Android,2021-03-09 08:00:00,2,3,4,6,13,0.3333333333333333,0.0,Mobile,Social,Instagram
Product,Dominica,Unknown,Windows,2020-11-10 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Dominica,Unknown,Windows,2019-08-16 12:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Cape Verde,mclean.net,Linux,2020-11-19 12:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Bosnia and Herzegovina,www.instagram.com,iOS,2019-10-16 15:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Cape Verde,jones-shelton.com,Windows,2019-07-25 11:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Bosnia and Herzegovina,Unknown,Android,2020-06-26 06:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bosnia and Herzegovina,Unknown,Android,2019-07-28 14:00:00,3,6,8,11,13,0.2727272727272727,0.8181818181818181,Mobile,,
Product,Cape Verde,uk.search.yahoo.com,Android,2019-08-10 00:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Yahoo!
Collection,Gabon,Unknown,Windows,2020-11-30 02:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Collection,Dominica,Unknown,Windows,2020-05-18 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Gabon,Unknown,Android,2019-08-25 13:00:00,1,2,2,3,3,0.3333333333333333,1.0,Mobile,,
Homepage,Dominica,Unknown,iOS,2021-02-14 11:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Checkout,Gabon,jones-shelton.com,iOS,2020-07-22 06:00:00,1,2,2,4,8,0.25,0.0,Mobile,Unknown,
Product,Dominica,Unknown,iOS,2020-12-26 00:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Sweden,Unknown,iOS,2020-11-08 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,Mac OS X,2020-04-01 05:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,Unknown,Android,2021-01-28 14:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Cape Verde,Unknown,iOS,2020-10-01 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,www.instagram.com,Android,2021-02-12 02:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Dominica,jones-shelton.com,iOS,2021-02-24 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Bahamas,Unknown,Windows,2020-07-07 12:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,jones-shelton.com,Windows,2019-10-30 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Dominica,Unknown,Android,2020-08-25 12:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Dominica,Unknown,Mac OS X,2020-08-30 21:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Dominica,l.instagram.com,iOS,2021-03-16 00:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Dominica,Unknown,Windows,2020-09-27 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,Unknown,iOS,2020-03-18 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Dominica,Unknown,Windows,2020-10-04 14:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,Unknown,Linux,2020-07-06 14:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Maldives,Unknown,Android,2020-09-08 22:00:00,1,1,2,4,8,0.25,0.0,Mobile,,
Homepage,Gabon,Unknown,Linux,2020-06-17 12:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cape Verde,Unknown,Linux,2019-08-03 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,Unknown,Linux,2019-12-10 14:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Dominica,jones-shelton.com,Android,2020-07-25 11:00:00,4,4,4,9,12,0.4444444444444444,0.6666666666666667,Mobile,Unknown,
Cart,Bosnia and Herzegovina,Unknown,Windows,2021-04-29 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,Unknown,Linux,2020-03-10 10:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,Unknown,Android,2021-01-02 04:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bosnia and Herzegovina,myers.com,Android,2021-09-20 06:00:00,3,6,9,13,19,0.23076923076923078,0.5384615384615384,Mobile,Unknown,
Homepage,Bosnia and Herzegovina,Unknown,iOS,2021-01-02 01:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,Unknown,Mac OS X,2020-02-16 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cape Verde,www.google.com,Linux,2020-08-22 05:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Homepage,Dominica,Unknown,Windows,2019-08-07 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Checkout,Bosnia and Herzegovina,jones-shelton.com,iOS,2019-08-17 02:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,China,Unknown,iOS,2021-01-15 11:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Gabon,Unknown,Android,2021-07-24 00:00:00,1,1,1,3,5,0.3333333333333333,0.33333333333333337,Mobile,,
Homepage,Dominica,Unknown,Linux,2020-11-30 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,facebook.com,Android,2021-01-27 06:00:00,2,3,5,7,11,0.2857142857142857,0.4285714285714286,Mobile,Social,Facebook
Homepage,Angola,l.instagram.com,Android,2019-08-15 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Cape Verde,www.google.com,Mac OS X,2021-10-13 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Homepage,Bosnia and Herzegovina,m.instagram.com,Mac OS X,2021-01-27 17:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Collection,Iran,jones-shelton.com,Android,2020-09-24 11:00:00,2,3,3,6,13,0.3333333333333333,0.0,Mobile,Unknown,
Homepage,Bosnia and Herzegovina,Unknown,iOS,2021-04-14 08:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bosnia and Herzegovina,Unknown,iOS,2020-07-07 15:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Cape Verde,m.instagram.com,iOS,2019-08-10 17:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Bosnia and Herzegovina,Unknown,Android,2019-11-04 06:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Dominica,www.google.com,iOS,2020-05-23 15:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Gabon,jones-shelton.com,Windows,2019-08-07 22:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Collection,Gabon,jones-shelton.com,Android,2021-07-23 18:00:00,2,3,4,6,10,0.3333333333333333,0.33333333333333337,Mobile,Unknown,
Product,Bosnia and Herzegovina,Unknown,iOS,2020-06-23 06:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,Android,2020-07-19 22:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Dominica,mclean.net,Android,2020-06-12 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Collection,Bosnia and Herzegovina,Unknown,Other,2021-03-29 04:00:00,1,2,3,5,6,0.2,0.8,Other,,
Homepage,Gabon,Unknown,iOS,2021-05-20 08:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Botswana,Unknown,iOS,2021-09-29 08:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Angola,myers.com,iOS,2019-09-30 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Collection,Bosnia and Herzegovina,www.google.com,Android,2020-12-14 04:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Dominica,Unknown,iOS,2021-02-02 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Cape Verde,Unknown,Windows,2019-08-16 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Gabon,Unknown,Windows,2020-09-23 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,Unknown,iOS,2020-06-02 02:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,www.google.com,Linux,2020-08-04 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Homepage,Cape Verde,jones-shelton.com,Android,2019-08-14 23:00:00,1,2,3,5,9,0.2,0.19999999999999996,Mobile,Unknown,
Product,Dominica,Unknown,Android,2020-09-01 05:00:00,2,2,2,4,5,0.5,0.75,Mobile,,
Cart,Dominica,Unknown,Mac OS X,2021-01-04 21:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,Unknown,Mac OS X,2019-11-12 11:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,l.instagram.com,Linux,2021-08-15 05:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Homepage,Gabon,chang-fisher.com,Mac OS X,2021-02-02 05:00:00,2,4,6,9,9,0.2222222222222222,1.0,Desktop,Unknown,
Homepage,Bosnia and Herzegovina,l.instagram.com,Linux,2020-06-09 02:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Homepage,Cape Verde,l.instagram.com,Android,2020-03-09 02:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Product,Gabon,www.google.com,iOS,2019-08-18 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Bosnia and Herzegovina,www.google.com,Android,2019-08-09 06:00:00,1,1,1,3,3,0.3333333333333333,1.0,Mobile,Search,Google
Collection,Dominica,www.google.com,iOS,2019-08-03 04:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Checkout,Bosnia and Herzegovina,Unknown,Windows,2019-08-03 13:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Bosnia and Herzegovina,Unknown,Ubuntu,2020-12-09 16:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Collection,Vanuatu,Unknown,Android,2020-07-23 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bosnia and Herzegovina,Unknown,iOS,2021-01-31 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Cape Verde,Unknown,Android,2019-12-22 23:00:00,2,4,4,5,11,0.4,0.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,iOS,2020-05-06 14:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Dominica,l.instagram.com,Android,2020-06-24 08:00:00,1,2,3,5,8,0.2,0.4,Mobile,Social,Instagram
Homepage,Cape Verde,Unknown,Linux,2021-02-25 12:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Bosnia and Herzegovina,l.instagram.com,iOS,2019-07-28 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Bosnia and Herzegovina,jones-shelton.com,Mac OS X,2020-06-09 05:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Product,Maldives,Unknown,Windows,2021-06-02 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,mclean.net,iOS,2019-10-09 04:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Gabon,Unknown,Windows,2020-11-29 16:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Saint Helena,Unknown,Windows,2020-12-24 22:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Collection,Dominica,jones-shelton.com,Mac OS X,2021-07-18 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Product,Dominica,Unknown,Windows,2020-03-11 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cape Verde,jones-shelton.com,Android,2020-09-14 13:00:00,1,2,3,4,5,0.25,0.75,Mobile,Unknown,
Homepage,Serbia,Unknown,Windows,2020-09-22 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cape Verde,Unknown,Android,2021-01-28 08:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Dominica,Unknown,iOS,2020-06-19 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Collection,Gabon,Unknown,iOS,2020-09-16 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Dominica,Unknown,Windows,2019-08-19 22:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Bosnia and Herzegovina,mclean.net,Mac OS X,2019-09-29 17:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Product,Dominica,harrell.com,Mac OS X,2021-01-03 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Cape Verde,mclean.net,iOS,2021-01-21 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Checkout,Bosnia and Herzegovina,Unknown,iOS,2021-05-19 16:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Cart,Bermuda,Unknown,Linux,2020-10-18 11:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,Unknown,Mac OS X,2020-09-01 05:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Gabon,l.instagram.com,Android,2019-11-27 14:00:00,1,2,2,3,5,0.3333333333333333,0.33333333333333337,Mobile,Social,Instagram
Homepage,Dominica,Unknown,iOS,2020-09-01 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,Unknown,Windows,2021-02-13 16:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,Unknown,Linux,2020-02-20 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Timor-Leste,Unknown,iOS,2021-05-04 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Estonia,Unknown,Android,2020-10-16 09:00:00,6,10,12,13,34,0.46153846153846156,0.0,Mobile,,
Homepage,Dominica,mclean.net,Linux,2019-08-20 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Bosnia and Herzegovina,Unknown,Linux,2021-01-09 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Checkout,Dominica,Unknown,Android,2021-01-15 00:00:00,1,2,3,4,4,0.25,1.0,Mobile,,
Homepage,Slovakia (Slovak Republic),myers.com,Windows,2021-07-18 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Bosnia and Herzegovina,Unknown,Android,2020-08-18 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bosnia and Herzegovina,facebook.com,Windows,2021-09-07 10:00:00,1,2,2,4,8,0.25,0.0,Desktop,Social,Facebook
Homepage,Dominica,Unknown,iOS,2021-11-11 11:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bosnia and Herzegovina,Unknown,Android,2019-10-25 22:00:00,3,4,7,8,15,0.375,0.125,Mobile,,
Cart,Bosnia and Herzegovina,mclean.net,Linux,2020-10-02 21:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Cape Verde,Unknown,Android,2020-06-17 08:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,Linux,2021-04-03 14:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bermuda,jones-shelton.com,Android,2021-03-02 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Bosnia and Herzegovina,jones-shelton.com,iOS,2020-12-30 12:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Angola,jones-shelton.com,Android,2021-08-14 19:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Product,Bosnia and Herzegovina,Unknown,iOS,2021-08-24 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,jones-shelton.com,Mac OS X,2021-05-05 18:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Product,Dominica,Unknown,Android,2021-01-01 05:00:00,2,3,5,8,16,0.25,0.0,Mobile,,
Homepage,Bosnia and Herzegovina,mclean.net,Android,2021-05-20 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Product,Cape Verde,Unknown,Windows,2020-06-19 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,jones-shelton.com,Android,2020-12-29 15:00:00,1,1,1,2,3,0.5,0.5,Mobile,Unknown,
Homepage,Botswana,www.instagram.com,Windows Phone,2019-08-14 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Product,Bosnia and Herzegovina,Unknown,iOS,2019-08-10 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Anguilla,Unknown,Android,2020-09-18 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Iran,Unknown,Android,2020-04-19 06:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Cape Verde,campbell.org,iOS,2020-04-15 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Cape Verde,Unknown,Mac OS X,2021-09-20 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Cape Verde,Unknown,Mac OS X,2021-08-09 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Gabon,Unknown,iOS,2020-07-28 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Collection,Dominica,l.instagram.com,Android,2021-02-11 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Dominica,myers.com,Android,2019-07-30 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Bosnia and Herzegovina,Unknown,Mac OS X,2020-12-11 12:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Iran,Unknown,Android,2020-10-11 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,jones-shelton.com,Android,2019-09-03 15:00:00,2,3,3,4,4,0.5,1.0,Mobile,Unknown,
Homepage,Bosnia and Herzegovina,www.google.com,Android,2020-06-08 01:00:00,1,2,3,4,5,0.25,0.75,Mobile,Search,Google
Product,Bosnia and Herzegovina,Unknown,Windows,2021-04-01 21:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Angola,Unknown,iOS,2020-11-14 08:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,Unknown,iOS,2020-08-29 01:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,Linux,2020-10-25 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Collection,Cape Verde,Unknown,Mac OS X,2020-10-11 03:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,mclean.net,iOS,2021-08-22 02:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Product,Angola,myers.com,Android,2021-06-18 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Angola,Unknown,iOS,2021-11-20 19:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Serbia,l.instagram.com,Android,2021-01-23 15:00:00,3,4,6,9,15,0.3333333333333333,0.33333333333333337,Mobile,Social,Instagram
Homepage,Cape Verde,facebook.com,Mac OS X,2020-08-26 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Facebook
Checkout,Angola,Unknown,Linux,2021-01-20 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Dominica,Unknown,Windows,2021-05-12 22:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Cart,Bosnia and Herzegovina,mclean.net,Linux,2021-01-20 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Product,Gabon,Unknown,Mac OS X,2020-07-15 18:00:00,1,2,2,3,6,0.3333333333333333,0.0,Desktop,,
Homepage,China,mclean.net,iOS,2020-10-09 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Bosnia and Herzegovina,Unknown,Linux,2021-04-23 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,www.google.com,Mac OS X,2021-01-10 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Product,Dominica,Unknown,iOS,2020-07-19 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Gabon,Unknown,Linux,2020-10-16 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,Unknown,iOS,2020-08-09 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Dominica,Unknown,iOS,2020-08-24 06:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Gabon,Unknown,Windows,2019-08-21 18:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,www.google.com,Linux,2021-12-11 02:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Product,Gabon,www.google.lt,Linux,2020-10-12 21:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Collection,Bosnia and Herzegovina,Unknown,iOS,2021-01-07 14:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,Linux,2021-09-29 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Cape Verde,rivera.com,Other,2020-08-17 22:00:00,3,4,5,8,17,0.375,0.0,Other,Unknown,
Homepage,Dominica,Unknown,Linux,2020-07-09 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Iran,m.instagram.com,Android,2020-12-04 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Product,Cape Verde,Unknown,Android,2021-05-10 11:00:00,2,2,2,3,10,0.6666666666666666,0.0,Mobile,,
Homepage,Bosnia and Herzegovina,myers.com,Android,2020-12-10 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Homepage,Dominica,Unknown,iOS,2019-08-17 11:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Iran,Unknown,Android,2020-12-14 08:00:00,3,3,6,10,22,0.3,0.0,Mobile,,
Collection,Gabon,mclean.net,Android,2019-08-17 19:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Gabon,Unknown,iOS,2020-07-26 22:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Lesotho,mclean.net,Linux,2020-12-16 13:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Bosnia and Herzegovina,mclean.net,Mac OS X,2021-08-29 14:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,
Homepage,Guyana,www.google.com,Android,2021-10-30 13:00:00,2,2,2,5,7,0.4,0.6,Mobile,Search,Google
Product,Bosnia and Herzegovina,www.google.com,Linux,2020-07-30 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Collection,Cape Verde,myers.com,Windows,2021-07-08 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Product,Bosnia and Herzegovina,Unknown,iOS,2020-04-18 12:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,myers.com,Linux,2019-11-29 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Bosnia and Herzegovina,Unknown,Mac OS X,2021-09-06 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Collection,Bosnia and Herzegovina,jones-shelton.com,Android,2020-05-17 02:00:00,1,1,1,2,4,0.5,0.0,Mobile,Unknown,
Product,Bosnia and Herzegovina,Unknown,Linux,2020-12-01 13:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,mclean.net,iOS,2020-08-01 12:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,
Homepage,Bosnia and Herzegovina,www.instagram.com,Android,2021-08-13 16:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Gabon,Unknown,Windows,2020-12-13 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bosnia and Herzegovina,myers.com,Android,2021-02-22 00:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Product,Botswana,www.google.com.ua,iOS,2020-10-12 17:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Maldives,l.facebook.com,Android,2019-10-17 16:00:00,1,1,1,2,6,0.5,0.0,Mobile,Social,Facebook
Homepage,Bosnia and Herzegovina,Unknown,Android,2019-10-12 15:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Cape Verde,Unknown,Mac OS X,2021-01-28 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,Unknown,iOS,2021-03-21 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bosnia and Herzegovina,Unknown,iOS,2020-09-02 19:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Dominica,Unknown,Mac OS X,2021-09-15 17:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Bahamas,Unknown,Fedora,2020-05-30 16:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Eritrea,Unknown,Android,2020-03-28 10:00:00,3,6,7,10,10,0.3,1.0,Mobile,,
Product,Bosnia and Herzegovina,Unknown,Linux,2021-04-19 22:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Gabon,jones-shelton.com,Android,2019-09-26 12:00:00,3,3,5,6,6,0.5,1.0,Mobile,Unknown,
Homepage,Bosnia and Herzegovina,www.google.com,Android,2021-03-18 13:00:00,1,1,2,4,8,0.25,0.0,Mobile,Search,Google
Homepage,Bosnia and Herzegovina,jones-shelton.com,iOS,2020-02-27 04:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
Product,Saint Helena,Unknown,iOS,2021-07-27 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Product,Bahamas,Unknown,Linux,2019-08-12 12:00:00,1,2,2,3,7,0.3333333333333333,0.0,Desktop,,
